LogFilename: 2020-06-09-04:22:48_monitoringLog
JSonLogFilename: 2020-06-09-04:22:48_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	7545597
select	1	278
my_project_wit_t	2	213
semi_join	3	4893237
my_project_wit_t	4	797282
select	5	937
my_project_wit_t	6	30
join	7	247128
my_project_wit_t	8	797164
my_project_wit_t	9	1912
join	10	1256
my_project_wit_t	11	20
my_project_wit_t	12	444
my_project_wit_t	13	457
my_project_wit_t	14	456
group_vec	15	2767
group_vec	16	3135
my_project_wit_t	17	0
my_project_wit_t	18	0
my_project_wit_t	19	796543
my_project_wit_t	20	1956
my_project_wit_t	21	187
agg_sum	22	131
[RES]
64122842794,1996,272
65442638804,1997,272
64644278336,1992,272
65753046406,1994,272
63849846112,1993,272
64613403961,1995,272
38990554470,1998,272
