LogFilename: 2020-06-09-00:33:26_monitoringLog
JSonLogFilename: 2020-06-09-00:33:26_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	1554822
select	1	2037
select	2	2087
merge_sorted	3	183
my_project_wit_t	4	309
join	5	1400380
my_project_wit_t	6	36273
select	7	147
select	8	98
merge_sorted	9	14
my_project_wit_t	10	20
join	11	11112
my_project_wit_t	12	35508
my_project_wit_t	13	437
select	14	2
my_project_wit_t	15	0
join	16	373
my_project_wit_t	17	45559
my_project_wit_t	18	408
my_project_wit_t	19	2
my_project_wit_t	20	16
my_project_wit_t	21	150
my_project_wit_t	22	1
my_project_wit_t	23	352
my_project_wit_t	24	18849
my_project_wit_t	25	388
my_project_wit_t	26	2
my_project_wit_t	27	0
my_project_wit_t	28	1
group_vec	29	10
group_vec	30	10
group_vec	31	7
my_project_wit_t	32	0
agg_sum	33	0
my_project_wit_t	34	0
my_project_wit_t	35	0
[RES]
221,221,1997,451127624
225,225,1997,479084411
225,221,1997,426168330
221,225,1997,390793767
