LogFilename: 2020-06-09-02:38:21_monitoringLog
JSonLogFilename: 2020-06-09-02:38:21_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	9272385
select	1	224
my_project_wit_t	2	200
semi_join	3	5166403
my_project_wit_t	4	794749
select	5	1257
my_project_wit_t	6	633
join	7	1079980
my_project_wit_t	8	795495
my_project_wit_t	9	52793
join	10	34621
my_project_wit_t	11	192
my_project_wit_t	12	19795
my_project_wit_t	13	19021
my_project_wit_t	14	18778
group_vec	15	164940
group_vec	16	250859
my_project_wit_t	17	2
my_project_wit_t	18	1
my_project_wit_t	19	794222
my_project_wit_t	20	52886
my_project_wit_t	21	19046
agg_sum	22	6196
[RES]
67039740975,1992,70
68669994220,1993,58
66219800753,1995,56
66934894860,1995,78
65971346685,1994,53
64989175927,1995,52
66828997109,1995,72
66906739676,1997,69
63266469518,1996,52
66949740810,1997,45
38145397526,1998,75
63515895913,1994,40
66912950975,1994,67
62815388221,1993,76
63540243127,1993,66
63477946859,1994,43
63438247873,1993,59
60684445098,1994,79
60999754600,1995,79
60765677984,1996,71
37598370759,1998,40
63387420640,1997,63
67145132875,1997,70
37096912397,1998,63
65559265319,1997,73
69168801695,1994,51
61111871253,1992,71
65496421477,1995,77
69944718145,1996,48
64916764686,1996,77
39197374519,1998,68
66183462333,1992,49
38843012969,1998,49
38673007148,1998,77
38845533119,1998,61
