LogFilename: 2020-06-09-02:41:03_monitoringLog
JSonLogFilename: 2020-06-09-02:41:03_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	2528015
select	1	2049
select	2	2079
merge_sorted	3	185
my_project_wit_t	4	275
join	5	2367048
my_project_wit_t	6	40983
select	7	146
select	8	99
merge_sorted	9	13
my_project_wit_t	10	29
join	11	11674
my_project_wit_t	12	40977
my_project_wit_t	13	412
select	14	3
my_project_wit_t	15	0
join	16	401
my_project_wit_t	17	41135
my_project_wit_t	18	374
my_project_wit_t	19	2
my_project_wit_t	20	16
my_project_wit_t	21	133
my_project_wit_t	22	1
my_project_wit_t	23	333
my_project_wit_t	24	19150
my_project_wit_t	25	384
my_project_wit_t	26	2
my_project_wit_t	27	0
my_project_wit_t	28	1
group_vec	29	12
group_vec	30	9
group_vec	31	6
my_project_wit_t	32	0
agg_sum	33	1
my_project_wit_t	34	0
my_project_wit_t	35	0
[RES]
221,221,1997,451127624
225,225,1997,479084411
225,221,1997,426168330
221,225,1997,390793767
