LogFilename: 2020-06-09-01:54:48_monitoringLog
JSonLogFilename: 2020-06-09-01:54:48_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	1627018
select	1	2060
select	2	2070
merge_sorted	3	187
my_project_wit_t	4	310
join	5	1466664
my_project_wit_t	6	36529
select	7	147
select	8	94
merge_sorted	9	14
my_project_wit_t	10	19
join	11	10757
my_project_wit_t	12	40988
my_project_wit_t	13	371
select	14	2
my_project_wit_t	15	0
join	16	367
my_project_wit_t	17	45940
my_project_wit_t	18	378
my_project_wit_t	19	2
my_project_wit_t	20	16
my_project_wit_t	21	147
my_project_wit_t	22	1
my_project_wit_t	23	320
my_project_wit_t	24	19129
my_project_wit_t	25	389
my_project_wit_t	26	2
my_project_wit_t	27	0
my_project_wit_t	28	1
group_vec	29	11
group_vec	30	10
group_vec	31	7
my_project_wit_t	32	0
agg_sum	33	0
my_project_wit_t	34	0
my_project_wit_t	35	0
[RES]
221,221,1997,451127624
225,225,1997,479084411
225,221,1997,426168330
221,225,1997,390793767
