colName	format	repetition	runtime
lineorder.lo_discount	uncompr	1	4354792
lineorder.lo_discount	uncompr	2	4351159
lineorder.lo_discount	uncompr	3	4347005
lineorder.lo_discount	static_vbp_4	1	3859561
lineorder.lo_discount	static_vbp_4	2	3851074
lineorder.lo_discount	static_vbp_4	3	3858132
lineorder.lo_discount	static_vbp_8	1	3884304
lineorder.lo_discount	static_vbp_8	2	3883767
lineorder.lo_discount	static_vbp_8	3	3884393
lineorder.lo_quantity	static_vbp_6	1	3596751
lineorder.lo_quantity	static_vbp_6	2	3589615
lineorder.lo_quantity	static_vbp_6	3	3587365
lineorder.lo_quantity	static_vbp_8	1	3586753
lineorder.lo_quantity	static_vbp_8	2	3589724
lineorder.lo_quantity	static_vbp_8	3	3589924
lineorder.lo_quantity	dynamic_vbp	1	3635246
lineorder.lo_quantity	dynamic_vbp	2	3638036
lineorder.lo_quantity	dynamic_vbp	3	3642898
lineorder.lo_quantity	delta+dynamic_vbp	1	4102793
lineorder.lo_quantity	delta+dynamic_vbp	2	4100659
lineorder.lo_quantity	delta+dynamic_vbp	3	4099500
lineorder.lo_quantity	for+dynamic_vbp	1	3703638
lineorder.lo_quantity	for+dynamic_vbp	2	3709943
lineorder.lo_quantity	for+dynamic_vbp	3	3714922
lineorder.lo_orderdate	static_vbp_25	1	3501345
lineorder.lo_orderdate	static_vbp_25	2	3505076
lineorder.lo_orderdate	static_vbp_25	3	3508107
lineorder.lo_orderdate	static_vbp_26	1	3499026
lineorder.lo_orderdate	static_vbp_26	2	3497930
lineorder.lo_orderdate	static_vbp_26	3	3500889
lineorder.lo_orderdate	static_vbp_32	1	3511817
lineorder.lo_orderdate	static_vbp_32	2	3519623
lineorder.lo_orderdate	static_vbp_32	3	3518533
date.d_year	static_vbp_11	1	3498827
date.d_year	static_vbp_11	2	3502360
date.d_year	static_vbp_11	3	3502801
date.d_year	static_vbp_12	1	3518719
date.d_year	static_vbp_12	2	3517142
date.d_year	static_vbp_12	3	3524845
date.d_year	static_vbp_16	1	3508598
date.d_year	static_vbp_16	2	3508527
date.d_year	static_vbp_16	3	3511577
date.d_year	dynamic_vbp	1	3517229
date.d_year	dynamic_vbp	2	3515840
date.d_year	dynamic_vbp	3	3517512
date.d_year	delta+dynamic_vbp	1	3514346
date.d_year	delta+dynamic_vbp	2	3513425
date.d_year	delta+dynamic_vbp	3	3508791
date.d_year	for+dynamic_vbp	1	3507493
date.d_year	for+dynamic_vbp	2	3512279
date.d_year	for+dynamic_vbp	3	3512176
date.d_weeknuminyear	static_vbp_6	1	3502740
date.d_weeknuminyear	static_vbp_6	2	3498557
date.d_weeknuminyear	static_vbp_6	3	3500026
date.d_weeknuminyear	static_vbp_8	1	3510813
date.d_weeknuminyear	static_vbp_8	2	3501494
date.d_weeknuminyear	static_vbp_8	3	3510460
date.d_weeknuminyear	dynamic_vbp	1	3510303
date.d_weeknuminyear	dynamic_vbp	2	3507291
date.d_weeknuminyear	dynamic_vbp	3	3509326
date.d_weeknuminyear	delta+dynamic_vbp	1	3509599
date.d_weeknuminyear	delta+dynamic_vbp	2	3509150
date.d_weeknuminyear	delta+dynamic_vbp	3	3511293
date.d_weeknuminyear	for+dynamic_vbp	1	3519071
date.d_weeknuminyear	for+dynamic_vbp	2	3521688
date.d_weeknuminyear	for+dynamic_vbp	3	3519616
lineorder.lo_extendedprice	static_vbp_24	1	3428356
lineorder.lo_extendedprice	static_vbp_24	2	3426599
lineorder.lo_extendedprice	static_vbp_24	3	3434009
lineorder.lo_extendedprice	static_vbp_32	1	3445583
lineorder.lo_extendedprice	static_vbp_32	2	3443817
lineorder.lo_extendedprice	static_vbp_32	3	3443211
date.d_datekey	static_vbp_25	1	3439891
date.d_datekey	static_vbp_25	2	3441117
date.d_datekey	static_vbp_25	3	3440968
date.d_datekey	static_vbp_26	1	3446725
date.d_datekey	static_vbp_26	2	3445353
date.d_datekey	static_vbp_26	3	3441028
date.d_datekey	static_vbp_32	1	3434168
date.d_datekey	static_vbp_32	2	3434683
date.d_datekey	static_vbp_32	3	3441535
X_58	static_vbp_25	1	3399721
X_58	static_vbp_25	2	3402053
X_58	static_vbp_25	3	3405861
X_58	static_vbp_26	1	3383431
X_58	static_vbp_26	2	3384182
X_58	static_vbp_26	3	3395152
X_58	static_vbp_32	1	3392107
X_58	static_vbp_32	2	3382722
X_58	static_vbp_32	3	3385459
X_58	dynamic_vbp	1	3409099
X_58	dynamic_vbp	2	3407189
X_58	dynamic_vbp	3	3404807
X_58	delta+dynamic_vbp	1	3510068
X_58	delta+dynamic_vbp	2	3506763
X_58	delta+dynamic_vbp	3	3508532
X_58	for+dynamic_vbp	1	3385855
X_58	for+dynamic_vbp	2	3388414
X_58	for+dynamic_vbp	3	3383810
X_92	static_vbp_25	1	3395259
X_92	static_vbp_25	2	3387674
X_92	static_vbp_25	3	3391415
X_92	static_vbp_26	1	3396512
X_92	static_vbp_26	2	3395446
X_92	static_vbp_26	3	3397494
X_92	static_vbp_32	1	3379823
X_92	static_vbp_32	2	3385978
X_92	static_vbp_32	3	3386826
X_92	dynamic_vbp	1	3386493
X_92	dynamic_vbp	2	3391175
X_92	dynamic_vbp	3	3387990
X_92	delta+dynamic_vbp	1	3404145
X_92	delta+dynamic_vbp	2	3402352
X_92	delta+dynamic_vbp	3	3406884
X_92	for+dynamic_vbp	1	3399338
X_92	for+dynamic_vbp	2	3400546
X_92	for+dynamic_vbp	3	3394186
X_95	static_vbp_25	1	3388154
X_95	static_vbp_25	2	3383961
X_95	static_vbp_25	3	3392121
X_95	static_vbp_26	1	3383293
X_95	static_vbp_26	2	3387648
X_95	static_vbp_26	3	3384674
X_95	static_vbp_32	1	3382885
X_95	static_vbp_32	2	3382974
X_95	static_vbp_32	3	3385532
X_95	dynamic_vbp	1	3407176
X_95	dynamic_vbp	2	3408914
X_95	dynamic_vbp	3	3413466
X_95	delta+dynamic_vbp	1	3375621
X_95	delta+dynamic_vbp	2	3372195
X_95	delta+dynamic_vbp	3	3378014
X_95	for+dynamic_vbp	1	3384737
X_95	for+dynamic_vbp	2	3387253
X_95	for+dynamic_vbp	3	3387640
X_103_0	static_vbp_23	1	3340746
X_103_0	static_vbp_23	2	3341118
X_103_0	static_vbp_23	3	3342994
X_103_0	static_vbp_24	1	3322642
X_103_0	static_vbp_24	2	3324553
X_103_0	static_vbp_24	3	3326073
X_103_0	static_vbp_32	1	3350415
X_103_0	static_vbp_32	2	3350890
X_103_0	static_vbp_32	3	3349296
X_104_0	static_vbp_3	1	3243966
X_104_0	static_vbp_3	2	3241934
X_104_0	static_vbp_3	3	3239475
X_104_0	static_vbp_4	1	3237572
X_104_0	static_vbp_4	2	3237965
X_104_0	static_vbp_4	3	3241191
X_104_0	static_vbp_8	1	3267326
X_104_0	static_vbp_8	2	3264572
X_104_0	static_vbp_8	3	3262738
