colName	format	repetition	runtime
supplier.s_region	uncompr	1	7597156
supplier.s_region	uncompr	2	7859870
supplier.s_region	uncompr	3	7808137
supplier.s_region	static_vbp_3	1	7458155
supplier.s_region	static_vbp_3	2	7356424
supplier.s_region	static_vbp_3	3	7411888
supplier.s_region	static_vbp_4	1	7563447
supplier.s_region	static_vbp_4	2	7558752
supplier.s_region	static_vbp_4	3	7576471
supplier.s_region	static_vbp_8	1	7500081
supplier.s_region	static_vbp_8	2	7378506
supplier.s_region	static_vbp_8	3	7540127
supplier.s_region	dynamic_vbp	1	7714727
supplier.s_region	dynamic_vbp	2	7809572
supplier.s_region	dynamic_vbp	3	7725300
supplier.s_region	delta+dynamic_vbp	1	7592184
supplier.s_region	delta+dynamic_vbp	2	7515551
supplier.s_region	delta+dynamic_vbp	3	7582413
supplier.s_region	for+dynamic_vbp	1	7791824
supplier.s_region	for+dynamic_vbp	2	7902366
supplier.s_region	for+dynamic_vbp	3	7817379
lineorder.lo_revenue	static_vbp_24	1	7117767
lineorder.lo_revenue	static_vbp_24	2	7225351
lineorder.lo_revenue	static_vbp_24	3	7098417
lineorder.lo_revenue	static_vbp_32	1	7313650
lineorder.lo_revenue	static_vbp_32	2	7184424
lineorder.lo_revenue	static_vbp_32	3	7287925
date.d_year	static_vbp_11	1	7364900
date.d_year	static_vbp_11	2	7431251
date.d_year	static_vbp_11	3	7449536
date.d_year	static_vbp_12	1	7413937
date.d_year	static_vbp_12	2	7374909
date.d_year	static_vbp_12	3	7547957
date.d_year	static_vbp_16	1	7329776
date.d_year	static_vbp_16	2	7309614
date.d_year	static_vbp_16	3	7531186
lineorder.lo_orderdate	static_vbp_25	1	7096113
lineorder.lo_orderdate	static_vbp_25	2	7107177
lineorder.lo_orderdate	static_vbp_25	3	7117549
lineorder.lo_orderdate	static_vbp_26	1	6936327
lineorder.lo_orderdate	static_vbp_26	2	6968816
lineorder.lo_orderdate	static_vbp_26	3	6898459
lineorder.lo_orderdate	static_vbp_32	1	7280945
lineorder.lo_orderdate	static_vbp_32	2	7255703
lineorder.lo_orderdate	static_vbp_32	3	7142771
part.p_partkey	static_vbp_21	1	6899721
part.p_partkey	static_vbp_21	2	6913554
part.p_partkey	static_vbp_21	3	6902086
part.p_partkey	static_vbp_22	1	7136296
part.p_partkey	static_vbp_22	2	7141906
part.p_partkey	static_vbp_22	3	7212471
part.p_partkey	static_vbp_24	1	6922452
part.p_partkey	static_vbp_24	2	6916962
part.p_partkey	static_vbp_24	3	6911967
part.p_partkey	static_vbp_32	1	7098377
part.p_partkey	static_vbp_32	2	7142165
part.p_partkey	static_vbp_32	3	7099881
part.p_brand	static_vbp_10	1	6943728
part.p_brand	static_vbp_10	2	7070097
part.p_brand	static_vbp_10	3	6978743
part.p_brand	static_vbp_16	1	7108126
part.p_brand	static_vbp_16	2	7108652
part.p_brand	static_vbp_16	3	7137776
date.d_datekey	static_vbp_25	1	6929239
date.d_datekey	static_vbp_25	2	6934711
date.d_datekey	static_vbp_25	3	6953018
date.d_datekey	static_vbp_26	1	7184496
date.d_datekey	static_vbp_26	2	7218270
date.d_datekey	static_vbp_26	3	7205443
date.d_datekey	static_vbp_32	1	6923950
date.d_datekey	static_vbp_32	2	6944214
date.d_datekey	static_vbp_32	3	7031949
date.d_datekey	dynamic_vbp	1	6999199
date.d_datekey	dynamic_vbp	2	7013694
