colName	format
supplier.s_region	static_vbp_3
lineorder.lo_revenue	static_vbp_24
date.d_year	uncompr
lineorder.lo_orderdate	static_vbp_26
part.p_partkey	static_vbp_21
part.p_brand	uncompr
date.d_datekey	uncompr
lineorder.lo_suppkey	for+dynamic_vbp
lineorder.lo_partkey	static_vbp_32
supplier.s_suppkey	uncompr
C_59	delta+dynamic_vbp
X_61	uncompr
X_63	static_vbp_30
X_69	static_vbp_24
C_93	dynamic_vbp
X_95	uncompr
X_98	uncompr
X_97	uncompr
X_105_0	static_vbp_32
X_105	uncompr
X_128	uncompr
X_127	uncompr
X_136_0	uncompr
X_136_1	uncompr
X_136	uncompr
X_138	uncompr
C_140	uncompr
X_139	uncompr
C_143	uncompr
X_142	uncompr
X_145	uncompr
X_146	uncompr
X_132_0	static_vbp_24
X_132_1	static_vbp_24
X_132	uncompr
X_147	uncompr
