colName	format
date.d_year	static_vbp_11
customer.c_city	static_vbp_8
supplier.s_city	uncompr
customer.c_custkey	uncompr
customer.c_nation	uncompr
lineorder.lo_custkey	static_vbp_32
supplier.s_suppkey	static_vbp_18
supplier.s_nation	static_vbp_8
lineorder.lo_revenue	static_vbp_32
lineorder.lo_suppkey	static_vbp_18
lineorder.lo_orderdate	static_vbp_32
date.d_datekey	uncompr
C_63	uncompr
X_67	uncompr
X_69	delta+dynamic_vbp
X_70	static_vbp_12
X_75	static_vbp_24
C_105	uncompr
X_107	uncompr
X_110	uncompr
X_111	uncompr
X_116_0	static_vbp_22
X_116	static_vbp_24
C_150	static_vbp_32
X_152	uncompr
X_156	uncompr
X_155	uncompr
X_164_0	static_vbp_24
X_164_1	static_vbp_32
X_164	uncompr
X_168_0	static_vbp_8
X_168_1	static_vbp_8
X_168	uncompr
X_171_0	static_vbp_8
X_171	uncompr
X_166_0	uncompr
X_166_1	static_vbp_11
X_166_2	static_vbp_11
X_166	uncompr
X_173	uncompr
C_174	delta+dynamic_vbp
C_177	uncompr
X_176	uncompr
C_180	uncompr
X_179	uncompr
X_184	uncompr
X_185	uncompr
X_195	uncompr
X_196	uncompr
