colName	format
customer.c_city	static_vbp_16
date.d_year	static_vbp_16
lineorder.lo_orderdate	static_vbp_25
supplier.s_suppkey	uncompr
date.d_datekey	uncompr
supplier.s_city	uncompr
lineorder.lo_suppkey	static_vbp_32
lineorder.lo_revenue	uncompr
lineorder.lo_custkey	static_vbp_24
customer.c_custkey	static_vbp_24
C_63	uncompr
C_67	uncompr
C_68	uncompr
X_69	static_vbp_24
X_71	uncompr
X_72	uncompr
X_78	uncompr
C_101	uncompr
C_105	uncompr
C_106	uncompr
X_107	uncompr
X_109	uncompr
X_110	uncompr
X_117_0	static_vbp_26
X_117	uncompr
C_143	uncompr
X_147	uncompr
X_149	uncompr
X_150	uncompr
X_157_0	static_vbp_24
X_157_1	uncompr
X_157	uncompr
X_161_0	uncompr
X_161_1	uncompr
X_161	uncompr
X_159_0	static_vbp_8
X_159_1	static_vbp_8
X_159_2	uncompr
X_159	uncompr
X_163_0	uncompr
X_163	uncompr
C_165	uncompr
X_164	uncompr
C_168	uncompr
X_167	uncompr
C_171	uncompr
X_170	uncompr
X_175	uncompr
X_176	uncompr
X_186	uncompr
X_187	uncompr
