colName	format
date.d_year	static_vbp_11
customer.c_nation	uncompr
supplier.s_nation	uncompr
customer.c_custkey	uncompr
customer.c_region	uncompr
lineorder.lo_custkey	static_vbp_24
supplier.s_suppkey	static_vbp_18
supplier.s_region	uncompr
lineorder.lo_revenue	uncompr
lineorder.lo_suppkey	static_vbp_18
lineorder.lo_orderdate	uncompr
date.d_datekey	uncompr
C_63	uncompr
X_67	uncompr
X_69	delta+dynamic_vbp
X_70	static_vbp_16
X_75	for+dynamic_vbp
C_105	dynamic_vbp
X_107	uncompr
X_110	static_vbp_30
X_111	static_vbp_16
X_116_0	static_vbp_22
X_116	static_vbp_24
C_150	static_vbp_24
X_152	uncompr
X_156	uncompr
X_155	static_vbp_28
X_164_0	static_vbp_24
X_164_1	static_vbp_24
X_164	uncompr
X_168_0	static_vbp_8
X_168_1	static_vbp_8
X_168	uncompr
X_171_0	uncompr
X_171	uncompr
X_166_0	uncompr
X_166_1	static_vbp_12
X_166_2	static_vbp_11
X_166	static_vbp_12
X_173	uncompr
C_174	static_vbp_6
C_177	uncompr
X_176	uncompr
C_180	uncompr
X_179	uncompr
X_184	uncompr
X_185	uncompr
X_195	uncompr
X_196	uncompr
