colName	format
supplier.s_region	dynamic_vbp
lineorder.lo_revenue	static_vbp_24
date.d_year	uncompr
lineorder.lo_orderdate	static_vbp_26
part.p_partkey	uncompr
part.p_brand	uncompr
date.d_datekey	uncompr
lineorder.lo_suppkey	for+dynamic_vbp
lineorder.lo_partkey	static_vbp_20
supplier.s_suppkey	uncompr
C_60	uncompr
X_62	delta+dynamic_vbp
X_64	dynamic_vbp
X_70	dynamic_vbp
C_96	uncompr
X_99	static_vbp_24
X_102	uncompr
X_101	static_vbp_32
X_109_0	static_vbp_25
X_109	dynamic_vbp
X_132	static_vbp_16
X_131	uncompr
X_140_0	uncompr
X_140_1	uncompr
X_140	uncompr
X_142	static_vbp_12
C_144	uncompr
X_143	uncompr
C_147	uncompr
X_146	uncompr
X_149	uncompr
X_150	uncompr
X_136_0	static_vbp_24
X_136_1	static_vbp_32
X_136	uncompr
X_151	uncompr
