colName	format
supplier.s_region	static_vbp_4
lineorder.lo_revenue	uncompr
date.d_datekey	uncompr
lineorder.lo_orderdate	static_vbp_25
date.d_year	static_vbp_16
part.p_category	uncompr
part.p_partkey	uncompr
lineorder.lo_suppkey	for+dynamic_vbp
supplier.s_suppkey	static_vbp_24
lineorder.lo_partkey	static_vbp_24
part.p_brand	static_vbp_10
C_59	delta+dynamic_vbp
X_61	uncompr
X_63	static_vbp_30
X_69	for+dynamic_vbp
C_100	static_vbp_32
X_102	static_vbp_22
X_106	uncompr
X_105	uncompr
X_113_0	static_vbp_25
X_113	uncompr
X_137	static_vbp_16
X_136	uncompr
X_146_0	uncompr
X_146_1	uncompr
X_146	uncompr
X_148	uncompr
C_150	uncompr
X_149	uncompr
C_153	uncompr
X_152	uncompr
X_155	uncompr
X_156	uncompr
X_141_0	static_vbp_32
X_141_1	static_vbp_24
X_141	uncompr
X_157	uncompr
