colName	format
part.p_mfgr	static_vbp_3
lineorder.lo_revenue	uncompr
date.d_datekey	uncompr
lineorder.lo_supplycost	static_vbp_17
lineorder.lo_orderdate	static_vbp_32
customer.c_custkey	static_vbp_22
customer.c_region	delta+dynamic_vbp
date.d_year	uncompr
supplier.s_suppkey	uncompr
supplier.s_region	uncompr
lineorder.lo_custkey	static_vbp_24
customer.c_nation	static_vbp_5
lineorder.lo_suppkey	static_vbp_32
part.p_partkey	static_vbp_32
lineorder.lo_partkey	for+dynamic_vbp
C_75	uncompr
C_79	uncompr
C_80	uncompr
X_81	for+dynamic_vbp
X_83	static_vbp_30
X_91	for+dynamic_vbp
C_115	delta+dynamic_vbp
X_117	uncompr
X_119	for+dynamic_vbp
X_125_0	static_vbp_24
X_125	static_vbp_24
C_160	uncompr
X_162	uncompr
X_166	uncompr
X_165	uncompr
X_174_0	static_vbp_32
X_174_1	uncompr
X_174	uncompr
X_201	static_vbp_16
X_200	static_vbp_24
X_217_0	uncompr
X_217_1	uncompr
X_217	uncompr
X_220	uncompr
C_227	uncompr
X_226	uncompr
C_230	uncompr
X_229	uncompr
X_232	uncompr
X_233	uncompr
X_210_0	static_vbp_24
X_210_1	static_vbp_24
X_210_2	static_vbp_24
X_210	uncompr
X_211_0	static_vbp_18
X_211_1	static_vbp_32
X_211_2	uncompr
X_211	uncompr
X_223	uncompr
X_234	uncompr
