colName	format	repetition	runtime
date.d_year	uncompr	1	14914978
date.d_year	uncompr	2	14902745
date.d_year	uncompr	3	14885519
date.d_year	static_vbp_11	1	15241846
date.d_year	static_vbp_11	2	15233205
date.d_year	static_vbp_11	3	15230335
date.d_year	static_vbp_12	1	15401597
date.d_year	static_vbp_12	2	15359232
date.d_year	static_vbp_12	3	15360353
date.d_year	static_vbp_16	1	14938676
date.d_year	static_vbp_16	2	14940762
date.d_year	static_vbp_16	3	14962607
lineorder.lo_revenue	static_vbp_24	1	15118940
lineorder.lo_revenue	static_vbp_24	2	15090353
lineorder.lo_revenue	static_vbp_24	3	15088074
lineorder.lo_revenue	static_vbp_32	1	15133534
lineorder.lo_revenue	static_vbp_32	2	15133416
lineorder.lo_revenue	static_vbp_32	3	15121814
lineorder.lo_supplycost	static_vbp_17	1	14688691
lineorder.lo_supplycost	static_vbp_17	2	14679318
lineorder.lo_supplycost	static_vbp_17	3	14678186
lineorder.lo_supplycost	static_vbp_18	1	14702424
lineorder.lo_supplycost	static_vbp_18	2	14728750
lineorder.lo_supplycost	static_vbp_18	3	14718157
lineorder.lo_supplycost	static_vbp_24	1	14730556
lineorder.lo_supplycost	static_vbp_24	2	14732270
lineorder.lo_supplycost	static_vbp_24	3	14716771
lineorder.lo_supplycost	static_vbp_32	1	14753755
lineorder.lo_supplycost	static_vbp_32	2	14717685
lineorder.lo_supplycost	static_vbp_32	3	14743976
customer.c_custkey	static_vbp_22	1	15030315
customer.c_custkey	static_vbp_22	2	15044424
customer.c_custkey	static_vbp_22	3	15028935
customer.c_custkey	static_vbp_24	1	15134952
customer.c_custkey	static_vbp_24	2	15088622
customer.c_custkey	static_vbp_24	3	15074253
customer.c_custkey	static_vbp_32	1	15057111
customer.c_custkey	static_vbp_32	2	15060127
customer.c_custkey	static_vbp_32	3	15064087
customer.c_region	static_vbp_3	1	15176501
customer.c_region	static_vbp_3	2	15200269
customer.c_region	static_vbp_3	3	15191913
customer.c_region	static_vbp_4	1	14701005
customer.c_region	static_vbp_4	2	14745901
customer.c_region	static_vbp_4	3	14688282
customer.c_region	static_vbp_8	1	14701437
customer.c_region	static_vbp_8	2	14697286
customer.c_region	static_vbp_8	3	14721329
customer.c_region	dynamic_vbp	1	15091748
customer.c_region	dynamic_vbp	2	15077090
customer.c_region	dynamic_vbp	3	15085008
customer.c_region	delta+dynamic_vbp	1	15118100
customer.c_region	delta+dynamic_vbp	2	15176002
customer.c_region	delta+dynamic_vbp	3	15191529
customer.c_region	for+dynamic_vbp	1	14690124
customer.c_region	for+dynamic_vbp	2	14733643
customer.c_region	for+dynamic_vbp	3	14707334
lineorder.lo_custkey	static_vbp_22	1	14525237
lineorder.lo_custkey	static_vbp_22	2	14520521
lineorder.lo_custkey	static_vbp_22	3	14500911
lineorder.lo_custkey	static_vbp_24	1	14503922
lineorder.lo_custkey	static_vbp_24	2	14496003
lineorder.lo_custkey	static_vbp_24	3	14521637
lineorder.lo_custkey	static_vbp_32	1	14590530
lineorder.lo_custkey	static_vbp_32	2	14560338
lineorder.lo_custkey	static_vbp_32	3	14573683
supplier.s_suppkey	static_vbp_18	1	14508478
supplier.s_suppkey	static_vbp_18	2	14551634
supplier.s_suppkey	static_vbp_18	3	14524282
supplier.s_suppkey	static_vbp_24	1	14532246
supplier.s_suppkey	static_vbp_24	2	14535666
supplier.s_suppkey	static_vbp_24	3	14534360
supplier.s_suppkey	static_vbp_32	1	14523146
supplier.s_suppkey	static_vbp_32	2	14544028
supplier.s_suppkey	static_vbp_32	3	14564805
supplier.s_region	static_vbp_3	1	14990857
supplier.s_region	static_vbp_3	2	15021295
supplier.s_region	static_vbp_3	3	14987599
supplier.s_region	static_vbp_4	1	14523200
supplier.s_region	static_vbp_4	2	14518285
supplier.s_region	static_vbp_4	3	14547851
supplier.s_region	static_vbp_8	1	14522357
supplier.s_region	static_vbp_8	2	14525011
supplier.s_region	static_vbp_8	3	14533439
supplier.s_region	dynamic_vbp	1	14564911
supplier.s_region	dynamic_vbp	2	14519212
supplier.s_region	dynamic_vbp	3	14535720
supplier.s_region	delta+dynamic_vbp	1	14498823
supplier.s_region	delta+dynamic_vbp	2	14537357
supplier.s_region	delta+dynamic_vbp	3	14531041
supplier.s_region	for+dynamic_vbp	1	14935330
supplier.s_region	for+dynamic_vbp	2	14927678
supplier.s_region	for+dynamic_vbp	3	14939577
part.p_category	static_vbp_5	1	14534991
part.p_category	static_vbp_5	2	14543890
part.p_category	static_vbp_5	3	14555129
part.p_category	static_vbp_6	1	14939846
part.p_category	static_vbp_6	2	14939985
part.p_category	static_vbp_6	3	14943797
part.p_category	static_vbp_8	1	14568418
part.p_category	static_vbp_8	2	14533057
part.p_category	static_vbp_8	3	14557534
part.p_partkey	static_vbp_21	1	14910817
