LogFilename: 2020-06-09-03:58:19_monitoringLog
JSonLogFilename: 2020-06-09-03:58:19_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	2861015
select	1	2714
select	2	2722
merge_sorted	3	189
my_project_wit_t	4	395
join	5	2648820
my_project_wit_t	6	48166
select	7	192
select	8	154
merge_sorted	9	13
my_project_wit_t	10	23
join	11	38606
my_project_wit_t	12	48382
my_project_wit_t	13	444
select	14	3
my_project_wit_t	15	0
join	16	636
my_project_wit_t	17	48413
my_project_wit_t	18	449
my_project_wit_t	19	2
my_project_wit_t	20	21
my_project_wit_t	21	152
my_project_wit_t	22	1
my_project_wit_t	23	401
my_project_wit_t	24	19522
my_project_wit_t	25	482
my_project_wit_t	26	3
my_project_wit_t	27	0
my_project_wit_t	28	1
group_vec	29	10
group_vec	30	11
group_vec	31	7
my_project_wit_t	32	0
agg_sum	33	0
my_project_wit_t	34	0
my_project_wit_t	35	0
[RES]
221,221,1997,451127624
225,225,1997,479084411
225,221,1997,426168330
221,225,1997,390793767
