LogFilename: 2020-06-09-03:09:24_monitoringLog
JSonLogFilename: 2020-06-09-03:09:24_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	2720362
select	1	2035
select	2	2051
merge_sorted	3	179
my_project_wit_t	4	277
join	5	2561429
my_project_wit_t	6	40238
select	7	146
select	8	96
merge_sorted	9	15
my_project_wit_t	10	27
join	11	11676
my_project_wit_t	12	40468
my_project_wit_t	13	415
select	14	3
my_project_wit_t	15	0
join	16	398
my_project_wit_t	17	40489
my_project_wit_t	18	365
my_project_wit_t	19	2
my_project_wit_t	20	16
my_project_wit_t	21	132
my_project_wit_t	22	1
my_project_wit_t	23	317
my_project_wit_t	24	19093
my_project_wit_t	25	379
my_project_wit_t	26	2
my_project_wit_t	27	0
my_project_wit_t	28	1
group_vec	29	11
group_vec	30	9
group_vec	31	6
my_project_wit_t	32	0
agg_sum	33	0
my_project_wit_t	34	0
my_project_wit_t	35	0
[RES]
221,221,1997,451127624
225,225,1997,479084411
225,221,1997,426168330
221,225,1997,390793767
