LogFilename: 2020-06-09-01:20:04_monitoringLog
JSonLogFilename: 2020-06-09-01:20:04_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	1539991
select	1	2039
select	2	2057
merge_sorted	3	186
my_project_wit_t	4	343
join	5	1385710
my_project_wit_t	6	36159
select	7	142
select	8	100
merge_sorted	9	13
my_project_wit_t	10	19
join	11	11091
my_project_wit_t	12	35410
my_project_wit_t	13	442
select	14	2
my_project_wit_t	15	0
join	16	372
my_project_wit_t	17	45577
my_project_wit_t	18	385
my_project_wit_t	19	2
my_project_wit_t	20	16
my_project_wit_t	21	148
my_project_wit_t	22	1
my_project_wit_t	23	314
my_project_wit_t	24	18954
my_project_wit_t	25	390
my_project_wit_t	26	2
my_project_wit_t	27	0
my_project_wit_t	28	1
group_vec	29	12
group_vec	30	10
group_vec	31	6
my_project_wit_t	32	0
agg_sum	33	0
my_project_wit_t	34	0
my_project_wit_t	35	0
[RES]
221,221,1997,451127624
225,225,1997,479084411
225,221,1997,426168330
221,225,1997,390793767
