LogFilename: 2020-03-08-17:14:08_monitoringLog
JSonLogFilename: 2020-03-08-17:14:08_monitoringLog
vector_extension	format	bitwidth	countValues	repetition	runtime:µs	runtime compr [µs]	size used [byte]	size compr [byte]	runtime decompr [µs]	runtime agg [µs]	check
scalar<v64<uint64_t>>	uncompr_f	32	134217728	3	114156	0	1073741824	0	0	113444	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	32	134217728	3	829957	319528	537133056	537133056	442295	45652	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	32	134217728	3	806315	284410	536870912	536870912	453132	46339	1
scalar<v64<uint64_t>>	uncompr_f	33	134217728	3	104622	0	1073741824	0	0	103901	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	33	134217728	3	844999	319184	553910272	553910272	451726	50966	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	33	134217728	3	827121	296578	553648128	553648128	456634	50862	1
scalar<v64<uint64_t>>	uncompr_f	34	134217728	3	104585	0	1073741824	0	0	103860	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	34	134217728	3	859061	325417	570687488	570687488	457153	52655	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	34	134217728	3	843075	314224	570425344	570425344	449966	55152	1
scalar<v64<uint64_t>>	uncompr_f	35	134217728	3	104701	0	1073741824	0	0	103970	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	35	134217728	3	874021	343726	587464704	587464704	452141	53691	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	35	134217728	3	843690	307885	587202560	587202560	457823	53559	1
scalar<v64<uint64_t>>	uncompr_f	36	134217728	3	104776	0	1073741824	0	0	104038	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	36	134217728	3	872532	338263	604241920	604241920	455649	53470	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	36	134217728	3	843154	313956	603979776	603979776	450237	53843	1
scalar<v64<uint64_t>>	uncompr_f	37	134217728	3	104589	0	1073741824	0	0	103830	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	37	134217728	3	890377	354697	621019136	621019136	453110	56701	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	37	134217728	3	869364	336060	620756992	620756992	451216	56313	1
scalar<v64<uint64_t>>	uncompr_f	38	134217728	3	104649	0	1073741824	0	0	103899	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	38	134217728	3	895353	350608	637796352	637796352	459645	58601	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	38	134217728	3	883036	341054	637534208	637534208	454092	61483	1
scalar<v64<uint64_t>>	uncompr_f	39	134217728	3	104767	0	1073741824	0	0	104006	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	39	134217728	3	911177	369282	654573568	654573568	455485	59254	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	39	134217728	3	888517	334271	654311424	654311424	468256	58927	1
scalar<v64<uint64_t>>	uncompr_f	40	134217728	3	104518	0	1073741824	0	0	103764	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	40	134217728	3	915811	375024	671350784	671350784	453513	59433	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	40	134217728	3	891460	336242	671088640	671088640	468110	59333	1
scalar<v64<uint64_t>>	uncompr_f	41	134217728	3	104730	0	1073741824	0	0	103950	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	41	134217728	3	917207	369808	688128000	688128000	456866	61993	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	41	134217728	3	906615	360082	687865856	687865856	456240	61884	1
scalar<v64<uint64_t>>	uncompr_f	42	134217728	3	104899	0	1073741824	0	0	104118	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	42	134217728	3	929900	376324	704905216	704905216	458847	65552	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	42	134217728	3	919256	367152	704643072	704643072	457705	65163	1
scalar<v64<uint64_t>>	uncompr_f	43	134217728	3	104532	0	1073741824	0	0	103768	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	43	134217728	3	948229	382310	721682432	721682432	471410	64659	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	43	134217728	3	923387	358982	721420288	721420288	469921	64589	1
scalar<v64<uint64_t>>	uncompr_f	44	134217728	3	114703	0	1073741824	0	0	113925	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	44	134217728	3	961927	394364	738459648	738459648	471024	66092	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	44	134217728	3	930921	377958	738197504	738197504	457861	64548	1
scalar<v64<uint64_t>>	uncompr_f	45	134217728	3	104654	0	1073741824	0	0	103859	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	45	134217728	3	957210	396130	755236864	755236864	462435	67504	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	45	134217728	3	946503	386205	754974720	754974720	461732	67339	1
scalar<v64<uint64_t>>	uncompr_f	46	134217728	3	104697	0	1073741824	0	0	103907	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	46	134217728	3	987852	408712	772014080	772014080	474810	72604	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	46	134217728	3	956086	388534	771751936	771751936	463369	72405	1
scalar<v64<uint64_t>>	uncompr_f	47	134217728	3	104723	0	1073741824	0	0	103908	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	47	134217728	3	975507	408455	788791296	788791296	464581	70179	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	47	134217728	3	962331	395722	788529152	788529152	464070	70191	1
scalar<v64<uint64_t>>	uncompr_f	48	134217728	3	104819	0	1073741824	0	0	104009	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	48	134217728	3	991578	425581	805568512	805568512	463708	69436	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	48	134217728	3	949493	383956	805306368	805306368	463312	69315	1
scalar<v64<uint64_t>>	uncompr_f	49	134217728	3	104716	0	1073741824	0	0	103915	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	49	134217728	3	1000901	420907	822345728	822345728	473471	73083	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	49	134217728	3	976842	404848	822083584	822083584	465457	72992	1
scalar<v64<uint64_t>>	uncompr_f	50	134217728	3	104830	0	1073741824	0	0	104018	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	50	134217728	3	1014465	428842	839122944	839122944	472253	79295	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	50	134217728	3	1000675	415470	838860800	838860800	471196	79914	1
scalar<v64<uint64_t>>	uncompr_f	51	134217728	3	105049	0	1073741824	0	0	104199	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	51	134217728	3	1020560	434133	855900160	855900160	475964	75862	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	51	134217728	3	988820	410661	855638016	855638016	467695	75808	1
scalar<v64<uint64_t>>	uncompr_f	52	134217728	3	114372	0	1073741824	0	0	113516	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	52	134217728	3	1033530	440104	872677376	872677376	478329	79891	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	52	134217728	3	999863	415186	872415232	872415232	469538	80044	1
scalar<v64<uint64_t>>	uncompr_f	53	134217728	3	114411	0	1073741824	0	0	113568	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	53	134217728	3	1040977	446983	889454592	889454592	479538	78692	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	53	134217728	3	1033739	432216	889192448	889192448	487466	78424	1
scalar<v64<uint64_t>>	uncompr_f	54	134217728	3	104992	0	1073741824	0	0	104151	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	54	134217728	3	1067574	454477	906231808	906231808	488182	88527	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	54	134217728	3	1058847	440083	905969664	905969664	494570	88064	1
scalar<v64<uint64_t>>	uncompr_f	55	134217728	3	114331	0	1073741824	0	0	113476	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	55	134217728	3	1060547	459985	923009024	923009024	482295	81334	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	55	134217728	3	1055550	446369	922746880	922746880	474179	81345	1
scalar<v64<uint64_t>>	uncompr_f	56	134217728	3	104718	0	1073741824	0	0	103838	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	56	134217728	3	1065213	472478	939786240	939786240	474090	81119	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	56	134217728	3	1031107	438567	939524096	939524096	473694	81441	1
scalar<v64<uint64_t>>	uncompr_f	57	134217728	3	105032	0	1073741824	0	0	104179	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	57	134217728	3	1081400	481488	956563456	956563456	477423	84401	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	57	134217728	3	1043849	445674	956301312	956301312	475960	84177	1
scalar<v64<uint64_t>>	uncompr_f	58	134217728	3	114193	0	1073741824	0	0	113320	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	58	134217728	3	1106507	488571	973340672	973340672	483971	95279	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	58	134217728	3	1067404	451509	973078528	973078528	482349	94948	1
scalar<v64<uint64_t>>	uncompr_f	59	134217728	3	104974	0	1073741824	0	0	104094	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	59	134217728	3	1102605	495829	990117888	990117888	480426	87084	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	59	134217728	3	1086821	466779	989855744	989855744	493718	87190	1
scalar<v64<uint64_t>>	uncompr_f	60	134217728	3	105102	0	1073741824	0	0	104212	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	60	134217728	3	1118981	502020	1006895104	1006895104	481587	95593	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	60	134217728	3	1083733	466846	1006632960	1006632960	479304	97859	1
scalar<v64<uint64_t>>	uncompr_f	61	134217728	3	104973	0	1073741824	0	0	104078	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	61	134217728	3	1124995	499055	1023672320	1023672320	495659	89939	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	61	134217728	3	1107730	480148	1023410176	1023410176	481090	89476	1
scalar<v64<uint64_t>>	uncompr_f	62	134217728	3	104893	0	1073741824	0	0	103977	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	62	134217728	3	1135616	505543	1040449536	1040449536	487093	102030	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	62	134217728	3	1116720	488344	1040187392	1040187392	484949	102522	1
scalar<v64<uint64_t>>	uncompr_f	63	134217728	3	104780	0	1073741824	0	0	103858	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	63	134217728	3	1130659	511206	1057226752	1057226752	485248	92564	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	63	134217728	3	1114318	495468	1056964608	1056964608	484780	92564	1
scalar<v64<uint64_t>>	uncompr_f	64	134217728	3	104949	0	1073741824	0	0	104013	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	64	134217728	3	1136231	521468	1074003968	1074003968	486886	85751	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	64	134217728	3	1106799	483899	1073741824	1073741824	496219	84603	1
scalar<v64<uint64_t>>	uncompr_f	1	134217728	4	104874	0	1073741824	0	0	103947	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	1	134217728	4	548473	110624	17039360	17039360	428146	7447	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	1	134217728	4	527783	90556	16777216	16777216	428472	7250	1
scalar<v64<uint64_t>>	uncompr_f	2	134217728	4	104976	0	1073741824	0	0	104025	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	2	134217728	4	564516	116047	33816576	33816576	437973	7473	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	2	134217728	4	550471	99833	33554432	33554432	440221	7409	1
scalar<v64<uint64_t>>	uncompr_f	3	134217728	4	105034	0	1073741824	0	0	104088	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	3	134217728	4	571094	123655	50593792	50593792	435223	8512	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	3	134217728	4	552883	106733	50331648	50331648	433965	8487	1
scalar<v64<uint64_t>>	uncompr_f	4	134217728	4	105148	0	1073741824	0	0	104194	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	4	134217728	4	577443	129009	67371008	67371008	435059	8997	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	4	134217728	4	557183	113374	67108864	67108864	430501	8924	1
scalar<v64<uint64_t>>	uncompr_f	5	134217728	4	114458	0	1073741824	0	0	113525	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	5	134217728	4	590044	137679	84148224	84148224	436704	10595	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	5	134217728	4	569401	120372	83886080	83886080	433618	10365	1
scalar<v64<uint64_t>>	uncompr_f	6	134217728	4	105137	0	1073741824	0	0	104158	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	6	134217728	4	607194	153568	100925440	100925440	436485	11397	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	6	134217728	4	579721	126519	100663296	100663296	436202	11284	1
scalar<v64<uint64_t>>	uncompr_f	7	134217728	4	104761	0	1073741824	0	0	103788	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	7	134217728	4	605686	150715	117702656	117702656	435737	12807	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	7	134217728	4	604489	134893	117440512	117440512	450550	12652	1
scalar<v64<uint64_t>>	uncompr_f	8	134217728	4	114610	0	1073741824	0	0	113638	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	8	134217728	4	613405	156621	134479872	134479872	436054	13649	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	8	134217728	4	604865	138500	134217728	134217728	444863	14447	1
scalar<v64<uint64_t>>	uncompr_f	9	134217728	4	105010	0	1073741824	0	0	104037	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	9	134217728	4	637307	165000	151257088	151257088	448658	15912	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	9	134217728	4	619904	148868	150994944	150994944	447642	15684	1
scalar<v64<uint64_t>>	uncompr_f	10	134217728	4	105009	0	1073741824	0	0	104001	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	10	134217728	4	637182	171230	168034304	168034304	440271	17274	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	10	134217728	4	634013	152059	167772160	167772160	456661	16800	1
scalar<v64<uint64_t>>	uncompr_f	11	134217728	4	105017	0	1073741824	0	0	104027	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	11	134217728	4	655616	177338	184811520	184811520	449953	19254	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	11	134217728	4	636035	158784	184549376	184549376	448506	19675	1
scalar<v64<uint64_t>>	uncompr_f	12	134217728	4	104780	0	1073741824	0	0	103779	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	12	134217728	4	650533	182723	201588736	201588736	437814	20286	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	12	134217728	4	639168	162864	201326592	201326592	447217	19357	1
scalar<v64<uint64_t>>	uncompr_f	13	134217728	4	114561	0	1073741824	0	0	113541	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	13	134217728	4	665291	189923	218365952	218365952	441694	23295	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	13	134217728	4	657223	184429	218103808	218103808	439209	23205	1
scalar<v64<uint64_t>>	uncompr_f	14	134217728	4	104879	0	1073741824	0	0	103876	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	14	134217728	4	670709	195860	235143168	235143168	439605	24178	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	14	134217728	4	653593	185060	234881024	234881024	435281	22204	1
scalar<v64<uint64_t>>	uncompr_f	15	134217728	4	105305	0	1073741824	0	0	104297	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	15	134217728	4	688205	211360	251920384	251920384	437616	27496	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	15	134217728	4	672678	181800	251658240	251658240	451753	27443	1
scalar<v64<uint64_t>>	uncompr_f	16	134217728	4	114624	0	1073741824	0	0	104006	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	16	134217728	4	682994	206666	268697600	268697600	437743	26165	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	16	134217728	4	670420	195377	268435456	268435456	436962	25350	1
scalar<v64<uint64_t>>	uncompr_f	17	134217728	4	114480	0	1073741824	0	0	113448	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	17	134217728	4	695426	214778	285474816	285474816	435817	31753	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	17	134217728	4	675246	194712	285212672	285212672	435889	31604	1
scalar<v64<uint64_t>>	uncompr_f	18	134217728	4	104945	0	1073741824	0	0	103893	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	18	134217728	4	702779	221256	302252032	302252032	435964	31790	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	18	134217728	4	690152	214566	301989888	301989888	433527	28360	1
scalar<v64<uint64_t>>	uncompr_f	19	134217728	4	104896	0	1073741824	0	0	103865	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	19	134217728	4	725424	227464	319029248	319029248	448344	35211	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	19	134217728	4	705700	208141	318767104	318767104	447920	35240	1
scalar<v64<uint64_t>>	uncompr_f	20	134217728	4	104958	0	1073741824	0	0	103911	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	20	134217728	4	734871	233110	335806464	335806464	452155	34528	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	20	134217728	4	698455	211281	335544320	335544320	441399	30720	1
scalar<v64<uint64_t>>	uncompr_f	21	134217728	4	104887	0	1073741824	0	0	103831	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	21	134217728	4	738081	240294	352583680	352583680	442350	39680	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	21	134217728	4	711192	218714	352321536	352321536	437608	39122	1
scalar<v64<uint64_t>>	uncompr_f	22	134217728	4	105057	0	1073741824	0	0	103987	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	22	134217728	4	746454	247193	369360896	369360896	448137	34702	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	22	134217728	4	728051	230545	369098752	369098752	446750	34355	1
scalar<v64<uint64_t>>	uncompr_f	23	134217728	4	105094	0	1073741824	0	0	104040	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	23	134217728	4	757555	253426	386138112	386138112	444315	42717	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	23	134217728	4	733468	233787	385875968	385875968	439251	43354	1
scalar<v64<uint64_t>>	uncompr_f	24	134217728	4	114463	0	1073741824	0	0	113397	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	24	134217728	4	765211	258480	402915328	402915328	447798	41138	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	24	134217728	4	725886	236945	402653184	402653184	434573	36626	1
scalar<v64<uint64_t>>	uncompr_f	25	134217728	4	114702	0	1073741824	0	0	113637	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	25	134217728	4	784118	266689	419692544	419692544	452398	46572	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	25	134217728	4	755632	243847	419430400	419430400	446832	46555	1
scalar<v64<uint64_t>>	uncompr_f	26	134217728	4	105269	0	1073741824	0	0	104202	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	26	134217728	4	776918	272908	436469760	436469760	445250	39598	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	26	134217728	4	749819	249917	436207616	436207616	440269	40528	1
scalar<v64<uint64_t>>	uncompr_f	27	134217728	4	104997	0	1073741824	0	0	103914	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	27	134217728	4	801480	279940	453246976	453246976	447836	53916	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	27	134217728	4	790559	262816	452984832	452984832	458424	49580	1
scalar<v64<uint64_t>>	uncompr_f	28	134217728	4	114630	0	1073741824	0	0	113526	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	28	134217728	4	820798	288720	470024192	470024192	462026	49578	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	28	134217728	4	772601	262651	469762048	469762048	447224	42215	1
scalar<v64<uint64_t>>	uncompr_f	29	134217728	4	105013	0	1073741824	0	0	103926	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	29	134217728	4	832460	296982	486801408	486801408	449869	65119	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	29	134217728	4	808044	271488	486539264	486539264	462803	52602	1
scalar<v64<uint64_t>>	uncompr_f	30	134217728	4	114712	0	1073741824	0	0	113611	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	30	134217728	4	811775	298973	503578624	503578624	444900	46046	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	30	134217728	4	799520	275260	503316480	503316480	454723	47754	1
scalar<v64<uint64_t>>	uncompr_f	31	134217728	4	105019	0	1073741824	0	0	103909	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	31	134217728	4	847466	310391	520355840	520355840	457794	56802	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	31	134217728	4	821935	282231	520093696	520093696	459756	57465	1
scalar<v64<uint64_t>>	uncompr_f	32	134217728	4	114638	0	1073741824	0	0	113519	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	32	134217728	4	833701	311854	537133056	537133056	453947	45312	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	32	134217728	4	804789	284118	536870912	536870912	451113	46453	1
scalar<v64<uint64_t>>	uncompr_f	33	134217728	4	105203	0	1073741824	0	0	104077	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	33	134217728	4	845610	319181	553910272	553910272	451893	50707	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	33	134217728	4	828455	307553	553648128	553648128	446332	50777	1
scalar<v64<uint64_t>>	uncompr_f	34	134217728	4	105192	0	1073741824	0	0	104053	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	34	134217728	4	870431	330025	570687488	570687488	463616	52333	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	34	134217728	4	844557	304931	570425344	570425344	459915	55232	1
scalar<v64<uint64_t>>	uncompr_f	35	134217728	4	105074	0	1073741824	0	0	103935	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	35	134217728	4	871946	343432	587464704	587464704	449578	53727	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	35	134217728	4	848080	320512	587202560	587202560	448788	53588	1
scalar<v64<uint64_t>>	uncompr_f	36	134217728	4	104990	0	1073741824	0	0	103850	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	36	134217728	4	870170	337260	604241920	604241920	453591	53454	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	36	134217728	4	858755	312671	603979776	603979776	466566	53864	1
scalar<v64<uint64_t>>	uncompr_f	37	134217728	4	105249	0	1073741824	0	0	104103	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	37	134217728	4	892323	357516	621019136	621019136	451718	56557	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	37	134217728	4	869439	322161	620756992	620756992	464647	56181	1
scalar<v64<uint64_t>>	uncompr_f	38	134217728	4	105188	0	1073741824	0	0	104035	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	38	134217728	4	900362	352191	637796352	637796352	461808	59136	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	38	134217728	4	869298	327295	637534208	637534208	453392	61492	1
scalar<v64<uint64_t>>	uncompr_f	39	134217728	4	105081	0	1073741824	0	0	103918	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	39	134217728	4	911699	357489	654573568	654573568	467326	59098	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	39	134217728	4	884259	334265	654311424	654311424	463065	59115	1
scalar<v64<uint64_t>>	uncompr_f	40	134217728	4	114678	0	1073741824	0	0	113513	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	40	134217728	4	911281	362125	671350784	671350784	461081	59512	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	40	134217728	4	879623	337387	671088640	671088640	454346	59392	1
scalar<v64<uint64_t>>	uncompr_f	41	134217728	4	105167	0	1073741824	0	0	103984	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	41	134217728	4	930545	382499	688128000	688128000	457077	61837	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	41	134217728	4	905555	345407	687865856	687865856	469098	61863	1
scalar<v64<uint64_t>>	uncompr_f	42	134217728	4	105456	0	1073741824	0	0	104273	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	42	134217728	4	936632	376802	704905216	704905216	464764	65115	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	42	134217728	4	932569	363230	704643072	704643072	474392	65167	1
scalar<v64<uint64_t>>	uncompr_f	43	134217728	4	114589	0	1073741824	0	0	113395	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	43	134217728	4	948965	382636	721682432	721682432	471263	64569	1
