LogFilename: 2020-03-08-17:14:08_monitoringLog
JSonLogFilename: 2020-03-08-17:14:08_monitoringLog
vector_extension	format	bitwidth	countValues	repetition	runtime:µs	runtime compr [µs]	size used [byte]	size compr [byte]	runtime decompr [µs]	runtime agg [µs]	check
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	15	134217728	1	655508	181506	251658240	251658240	436527	27387	1
scalar<v64<uint64_t>>	uncompr_f	16	134217728	1	104263	0	1073741824	0	0	104186	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	16	134217728	1	679885	206477	268697600	268697600	436572	26104	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	16	134217728	1	667295	195131	268435456	268435456	436133	25348	1
scalar<v64<uint64_t>>	uncompr_f	17	134217728	1	104110	0	1073741824	0	0	104029	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	17	134217728	1	694727	214795	285474816	285474816	436720	31829	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	17	134217728	1	689809	194756	285212672	285212672	452145	31512	1
scalar<v64<uint64_t>>	uncompr_f	18	134217728	1	103959	0	1073741824	0	0	103868	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	18	134217728	1	699322	221232	302252032	302252032	434130	31874	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	18	134217728	1	693162	204071	301989888	301989888	448705	28337	1
scalar<v64<uint64_t>>	uncompr_f	19	134217728	1	113630	0	1073741824	0	0	113541	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	19	134217728	1	715644	227946	319029248	319029248	439796	35128	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	19	134217728	1	710814	208191	318767104	318767104	455060	34826	1
scalar<v64<uint64_t>>	uncompr_f	20	134217728	1	113438	0	1073741824	0	0	113346	-1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	20	134217728	1	721241	233117	335806464	335806464	440082	34589	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	20	134217728	1	704567	211957	335544320	335544320	448531	30699	1
scalar<v64<uint64_t>>	uncompr_f	21	134217728	1	104009	0	1073741824	0	0	103910	-1
