LogFilename: 2020-03-08-19:41:10_monitoringLog
JSonLogFilename: 2020-03-08-19:41:10_monitoringLog
vector_extension	format	bitwidth	countValuesSmall	countValuesLarge	repetition	runtime:µs	runtime compr [µs]	runtime decompr [µs]	check
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	24	1024	134217728	1	241599	182217	42566	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	24	1024	134217728	1	223418	172037	34897	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	25	1024	134217728	1	252154	190095	44532	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	25	1024	134217728	1	237508	177733	42621	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	26	1024	134217728	1	259891	196855	44824	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	26	1024	134217728	1	239958	184375	37667	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	27	1024	134217728	1	269024	202682	47431	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	27	1024	134217728	1	258329	191568	48226	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	28	1024	134217728	1	278974	211104	47952	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	28	1024	134217728	1	257427	198104	40089	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	29	1024	134217728	1	291362	216633	54541	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	29	1024	134217728	1	274856	205715	49199	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	30	1024	134217728	1	300390	223815	55692	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	30	1024	134217728	1	276310	212351	43231	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	31	1024	134217728	1	309309	234795	52917	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	31	1024	134217728	1	292899	218927	52704	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	32	1024	134217728	1	313188	239890	50977	1
