LogFilename: 2020-06-01-21:42:38_monitoringLog
JSonLogFilename: 2020-06-01-21:42:38_monitoringLog
[MEA]
colName	formatWithBw	formatWithoutBw	valueCount	valueCountCompr	sizeUsedByte	sizeComprByte
supplier.s_nation	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	200000	199680	1629120	1609920
supplier.s_nation	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	200000	199680	158208	138880
X_92	uncompr_f	uncompr_f	144419127	0	1155353016	0
X_92	static_vbp_f<vbp_l<20, 8> >	static_vbp_f<vbp_l<bw, 8> >	144419127	144418816	361052088	361047040
X_92	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	144419127	144418816	361339960	361329152
X_92	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	144419127	144418816	1164395832	1164376704
X_92	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	144419127	144418816	371220792	371201536
X_232_1	uncompr_f	uncompr_f	57707826	0	461662608	0
X_232_1	static_vbp_f<vbp_l<24, 8> >	static_vbp_f<vbp_l<bw, 8> >	57707826	57707520	173128080	173122560
X_232_1	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	57707826	57707520	173245584	173234816
X_232_1	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	57707826	57707520	465285968	465266880
X_232_1	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	57707826	57707520	177197264	177178048
lineorder.lo_supplycost	uncompr_f	uncompr_f	600038145	0	4800305160	0
lineorder.lo_supplycost	static_vbp_f<vbp_l<17, 8> >	static_vbp_f<vbp_l<bw, 8> >	600038145	600037888	1275084744	1275080512
lineorder.lo_supplycost	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	600038145	600037888	1276262856	1276252480
lineorder.lo_supplycost	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	600038145	600037376	4837824136	4837801344
lineorder.lo_supplycost	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	600038145	600037376	1317274248	1317251328
X_233_0	uncompr_f	uncompr_f	144419127	0	1155353016	0
X_233_0	static_vbp_f<vbp_l<17, 8> >	static_vbp_f<vbp_l<bw, 8> >	144419127	144418816	306894648	306889984
X_233_0	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	144419127	144418816	307182904	307172096
X_233_0	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	144419127	144418816	1164395832	1164376704
X_233_0	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	144419127	144418816	317059704	317040448
C_129	uncompr_f	uncompr_f	559300	0	4474400	0
C_129	static_vbp_f<vbp_l<21, 8> >	static_vbp_f<vbp_l<bw, 8> >	559300	559104	1471904	1467648
C_129	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	559300	559104	1374304	1364416
C_129	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	559300	559104	472160	453952
C_129	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	559300	559104	861408	843072
X_238_2	uncompr_f	uncompr_f	11574716	0	92597728	0
X_238_2	static_vbp_f<vbp_l<4, 8> >	static_vbp_f<vbp_l<bw, 8> >	11574716	11574272	5791200	5787136
X_238_2	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	11574716	11574272	5821664	5809792
X_238_2	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	11574716	11574272	93337760	93317568
X_238_2	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	11574716	11574272	6621280	6600960
customer.c_custkey	uncompr_f	uncompr_f	3000000	0	24000000	0
customer.c_custkey	static_vbp_f<vbp_l<22, 8> >	static_vbp_f<vbp_l<bw, 8> >	3000000	2999808	8253824	8249472
customer.c_custkey	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	3000000	2999808	7741824	7731968
customer.c_custkey	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	3000000	2999296	1709376	1687104
customer.c_custkey	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	3000000	2999296	3795008	3772608
part.p_category	uncompr_f	uncompr_f	1400000	0	11200000	0
part.p_category	static_vbp_f<vbp_l<5, 8> >	static_vbp_f<vbp_l<bw, 8> >	1400000	1399808	877056	874880
part.p_category	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	1400000	1399808	887488	877632
part.p_category	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	1400000	1399808	11304128	11285952
part.p_category	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	1400000	1399808	991616	973312
C_256	uncompr_f	uncompr_f	100	0	800	0
C_256	static_vbp_f<vbp_l<9, 8> >	static_vbp_f<vbp_l<bw, 8> >	100	0	1952	0
C_256	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	100	0	9120	0
C_256	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	100	0	17440	0
C_256	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	100	0	17568	0
X_232_2	uncompr_f	uncompr_f	11574716	0	92597728	0
X_232_2	static_vbp_f<vbp_l<24, 8> >	static_vbp_f<vbp_l<bw, 8> >	11574716	11574272	34729440	34722816
