LogFilename: 2020-06-01-21:40:49_monitoringLog
JSonLogFilename: 2020-06-01-21:40:49_monitoringLog
[MEA]
colName	formatWithBw	formatWithoutBw	valueCount	valueCountCompr	sizeUsedByte	sizeComprByte
X_210_0	uncompr_f	uncompr_f	239764820	0	1918118560	0
X_210_0	static_vbp_f<vbp_l<24, 8> >	static_vbp_f<vbp_l<bw, 8> >	239764820	239764480	719299232	719293440
X_210_0	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	239764820	239764480	719769888	719758848
X_210_0	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	239764820	239764480	1933120480	1933101120
X_210_0	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	239764820	239764480	736161376	736141888
X_210	uncompr_f	uncompr_f	9600393	0	76803144	0
X_210	static_vbp_f<vbp_l<24, 8> >	static_vbp_f<vbp_l<bw, 8> >	9600393	9600000	28806216	28800000
X_210	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	9600393	9600000	28830088	28818624
X_210	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	9600393	9600000	77419784	77400000
X_210	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	9600393	9600000	29494536	29474624
supplier.s_region	uncompr_f	uncompr_f	200000	0	1600000	0
supplier.s_region	static_vbp_f<vbp_l<3, 8> >	static_vbp_f<vbp_l<bw, 8> >	200000	199680	77824	74880
supplier.s_region	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	200000	199680	86208	75328
supplier.s_region	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	200000	199680	1629120	1609920
supplier.s_region	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	200000	199680	108288	88960
X_220	uncompr_f	uncompr_f	9600393	0	76803144	0
X_220	static_vbp_f<vbp_l<11, 8> >	static_vbp_f<vbp_l<bw, 8> >	9600393	9600000	13204552	13200000
X_220	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	9600393	9600000	13230216	13218752
X_220	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	9600393	9600000	77419784	77400000
X_220	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	9600393	9600000	4294920	4275008
lineorder.lo_suppkey	uncompr_f	uncompr_f	600038145	0	4800305160	0
lineorder.lo_suppkey	static_vbp_f<vbp_l<18, 8> >	static_vbp_f<vbp_l<bw, 8> >	600038145	600037888	1350089608	1350085248
lineorder.lo_suppkey	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	600038145	600037888	1351267592	1351257216
lineorder.lo_suppkey	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	600038145	600037376	4837824136	4837801344
lineorder.lo_suppkey	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	600038145	600037376	1392297160	1392274240
part.p_mfgr	uncompr_f	uncompr_f	1400000	0	11200000	0
part.p_mfgr	static_vbp_f<vbp_l<3, 8> >	static_vbp_f<vbp_l<bw, 8> >	1400000	1399808	526848	524928
part.p_mfgr	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	1400000	1399808	537536	527680
part.p_mfgr	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	1400000	1399808	11304128	11285952
part.p_mfgr	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	1400000	1399808	641664	623360
X_200	uncompr_f	uncompr_f	9600393	0	76803144	0
X_200	static_vbp_f<vbp_l<24, 8> >	static_vbp_f<vbp_l<bw, 8> >	9600393	9600000	28806216	28800000
X_200	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	9600393	9600000	26733128	26721664
X_200	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	9600393	9600000	5419784	5400000
X_200	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	9600393	9600000	12094920	12075008
X_211_0	uncompr_f	uncompr_f	239764820	0	1918118560	0
X_211_0	static_vbp_f<vbp_l<17, 8> >	static_vbp_f<vbp_l<bw, 8> >	239764820	239764480	509504416	509499520
X_211_0	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	239764820	239764480	509978912	509967872
X_211_0	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	239764820	239764480	1933120480	1933101120
X_211_0	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	239764820	239764480	526371680	526352192
lineorder.lo_revenue	uncompr_f	uncompr_f	600038145	0	4800305160	0
lineorder.lo_revenue	static_vbp_f<vbp_l<24, 8> >	static_vbp_f<vbp_l<bw, 8> >	600038145	600037888	1800118792	1800113664
lineorder.lo_revenue	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	600038145	600037888	1801290056	1801279680
