LogFilename: 2020-06-01-21:40:03_monitoringLog
JSonLogFilename: 2020-06-01-21:40:03_monitoringLog
[MEA]
colName	formatWithBw	formatWithoutBw	valueCount	valueCountCompr	sizeUsedByte	sizeComprByte
X_165	uncompr_f	uncompr_f	467	0	3736	0
X_165	static_vbp_f<vbp_l<8, 8> >	static_vbp_f<vbp_l<bw, 8> >	467	0	4760	0
X_165	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	467	0	12056	0
X_165	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	467	0	20376	0
X_165	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	467	0	20504	0
X_106	uncompr_f	uncompr_f	1533	0	12264	0
X_106	static_vbp_f<vbp_l<18, 8> >	static_vbp_f<vbp_l<bw, 8> >	1533	1024	8680	2304
X_106	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	1533	1024	14696	2304
X_106	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	1533	1024	22248	1536
X_106	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	1533	1024	23208	2368
supplier.s_suppkey	uncompr_f	uncompr_f	200000	0	1600000	0
supplier.s_suppkey	static_vbp_f<vbp_l<18, 8> >	static_vbp_f<vbp_l<bw, 8> >	200000	199680	454144	449280
supplier.s_suppkey	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	200000	199680	428480	417600
supplier.s_suppkey	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	200000	199680	131520	112320
supplier.s_suppkey	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	200000	199680	270528	251200
customer.c_city	uncompr_f	uncompr_f	3000000	0	24000000	0
customer.c_city	static_vbp_f<vbp_l<8, 8> >	static_vbp_f<vbp_l<bw, 8> >	3000000	2999808	3002368	2999808
customer.c_city	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	3000000	2999808	3015552	3005696
customer.c_city	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	3000000	2999296	24204096	24181824
customer.c_city	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	3000000	2999296	3232640	3210240
X_172	uncompr_f	uncompr_f	467	0	3736	0
X_172	static_vbp_f<vbp_l<1, 8> >	static_vbp_f<vbp_l<bw, 8> >	467	0	3864	0
X_172	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	467	0	12056	0
X_172	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	467	0	20376	0
X_172	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	467	0	20504	0
date.d_yearmonth	uncompr_f	uncompr_f	2556	0	20448	0
date.d_yearmonth	static_vbp_f<vbp_l<7, 8> >	static_vbp_f<vbp_l<bw, 8> >	2556	2048	6752	1792
