colName	format
supplier.s_region	static_vbp_4
lineorder.lo_revenue	uncompr
date.d_year	static_vbp_11
lineorder.lo_orderdate	uncompr
part.p_partkey	uncompr
part.p_brand	uncompr
date.d_datekey	dynamic_vbp
lineorder.lo_suppkey	dynamic_vbp
lineorder.lo_partkey	static_vbp_24
supplier.s_suppkey	uncompr
C_60	uncompr
X_62	uncompr
X_64	uncompr
X_70	uncompr
C_96	uncompr
X_99	uncompr
X_102	uncompr
X_101	uncompr
X_109_0	uncompr
X_109	uncompr
X_132	uncompr
X_131	uncompr
X_140_0	uncompr
X_140_1	uncompr
X_140	uncompr
X_142	uncompr
C_144	uncompr
X_143	uncompr
C_147	uncompr
X_146	uncompr
X_149	uncompr
X_150	uncompr
X_136_0	uncompr
X_136_1	uncompr
X_136	uncompr
X_151	uncompr
