colName	format
date.d_year	uncompr
customer.c_nation	uncompr
supplier.s_nation	static_vbp_8
customer.c_custkey	static_vbp_22
customer.c_region	uncompr
lineorder.lo_custkey	uncompr
supplier.s_suppkey	uncompr
supplier.s_region	static_vbp_4
lineorder.lo_revenue	uncompr
lineorder.lo_suppkey	uncompr
lineorder.lo_orderdate	static_vbp_26
date.d_datekey	uncompr
C_63	static_vbp_12
X_67	uncompr
X_69	uncompr
X_70	uncompr
X_75	uncompr
C_105	uncompr
X_107	dynamic_vbp
X_110	uncompr
X_111	uncompr
X_116_0	uncompr
X_116	delta+dynamic_vbp
C_150	uncompr
X_152	uncompr
X_156	uncompr
X_155	uncompr
X_164_0	uncompr
X_164_1	uncompr
X_164	uncompr
X_168_0	uncompr
X_168_1	uncompr
X_168	uncompr
X_171_0	uncompr
X_171	uncompr
X_166_0	uncompr
X_166_1	uncompr
X_166_2	uncompr
X_166	uncompr
X_173	uncompr
C_174	static_vbp_5
C_177	uncompr
X_176	uncompr
C_180	uncompr
X_179	uncompr
X_184	uncompr
X_185	uncompr
X_195	uncompr
X_196	uncompr
