colName	format
customer.c_city	uncompr
date.d_datekey	uncompr
date.d_yearmonth	for+dynamic_vbp
lineorder.lo_orderdate	uncompr
supplier.s_suppkey	uncompr
date.d_year	uncompr
supplier.s_city	uncompr
lineorder.lo_suppkey	uncompr
lineorder.lo_revenue	uncompr
lineorder.lo_custkey	uncompr
customer.c_custkey	uncompr
C_62	uncompr
C_66	uncompr
C_67	uncompr
X_68	dynamic_vbp
X_71	uncompr
X_70	uncompr
X_77	uncompr
C_100	uncompr
C_104	uncompr
C_105	uncompr
X_106	static_vbp_32
X_108	uncompr
X_109	static_vbp_16
X_116_0	uncompr
X_116	delta+dynamic_vbp
C_147	uncompr
X_149	uncompr
X_153	uncompr
X_152	uncompr
X_161_0	uncompr
X_161_1	uncompr
X_161	uncompr
X_165_0	uncompr
X_165_1	uncompr
X_165	uncompr
X_163_0	uncompr
X_163_1	uncompr
X_163_2	uncompr
X_163	uncompr
X_167_0	uncompr
X_167	uncompr
C_170	uncompr
X_169	uncompr
C_173	uncompr
X_172	uncompr
C_176	uncompr
X_175	uncompr
X_180	uncompr
X_181	uncompr
X_191	uncompr
X_192	uncompr
