colName	format
date.d_year	static_vbp_16
part.p_brand	static_vbp_10
lineorder.lo_supplycost	uncompr
customer.c_custkey	uncompr
customer.c_region	uncompr
lineorder.lo_custkey	uncompr
supplier.s_suppkey	uncompr
supplier.s_nation	uncompr
lineorder.lo_revenue	uncompr
lineorder.lo_suppkey	uncompr
part.p_partkey	uncompr
supplier.s_city	uncompr
lineorder.lo_partkey	uncompr
lineorder.lo_orderdate	static_vbp_25
part.p_category	for+dynamic_vbp
date.d_datekey	static_vbp_32
C_76	uncompr
C_80	uncompr
C_81	uncompr
X_82	uncompr
X_84	uncompr
X_85	delta+dynamic_vbp
X_91	delta+dynamic_vbp
C_123	uncompr
X_125	uncompr
X_129	uncompr
X_128	uncompr
X_136_0	uncompr
X_136	uncompr
C_170	uncompr
X_172	uncompr
X_175	dynamic_vbp
X_176	for+dynamic_vbp
X_181_0	uncompr
X_181_1	uncompr
X_181	uncompr
C_213	uncompr
X_215	uncompr
X_217	uncompr
X_233_0	uncompr
X_233_1	uncompr
X_233_2	uncompr
X_233	uncompr
X_235_0	uncompr
X_235_1	uncompr
X_235	uncompr
X_230_0	uncompr
X_230_1	uncompr
X_230_2	uncompr
X_230_3	uncompr
X_230	uncompr
C_245	uncompr
X_244	uncompr
C_248	uncompr
X_247	uncompr
X_250	uncompr
C_251	uncompr
X_253	uncompr
X_254	uncompr
X_255	uncompr
X_227_0	uncompr
X_227_1	uncompr
X_227_2	uncompr
X_227	uncompr
X_228_0	uncompr
X_228_1	uncompr
X_228_2	uncompr
X_228	uncompr
X_241	uncompr
X_256	uncompr
