colName	format	repetition	runtime
supplier.s_region	uncompr	1	8463619
supplier.s_region	uncompr	2	8543700
supplier.s_region	uncompr	3	8541825
supplier.s_region	static_vbp_3	1	8475272
supplier.s_region	static_vbp_3	2	8598940
supplier.s_region	static_vbp_3	3	8542300
supplier.s_region	static_vbp_4	1	8556730
supplier.s_region	static_vbp_4	2	8508422
supplier.s_region	static_vbp_4	3	8550933
supplier.s_region	static_vbp_8	1	8780008
supplier.s_region	static_vbp_8	2	8719666
supplier.s_region	static_vbp_8	3	8743472
supplier.s_region	dynamic_vbp	1	8512206
supplier.s_region	dynamic_vbp	2	8595562
supplier.s_region	dynamic_vbp	3	8595940
supplier.s_region	delta+dynamic_vbp	1	8531224
supplier.s_region	delta+dynamic_vbp	2	8506200
supplier.s_region	delta+dynamic_vbp	3	8748311
supplier.s_region	for+dynamic_vbp	1	8753484
supplier.s_region	for+dynamic_vbp	2	8663648
supplier.s_region	for+dynamic_vbp	3	8730726
lineorder.lo_revenue	static_vbp_24	1	8257221
lineorder.lo_revenue	static_vbp_24	2	8330475
lineorder.lo_revenue	static_vbp_24	3	8332653
lineorder.lo_revenue	static_vbp_32	1	8639400
lineorder.lo_revenue	static_vbp_32	2	8492967
lineorder.lo_revenue	static_vbp_32	3	8593983
date.d_datekey	static_vbp_25	1	8922152
date.d_datekey	static_vbp_25	2	9329788
date.d_datekey	static_vbp_25	3	9057876
date.d_datekey	static_vbp_26	1	8974852
date.d_datekey	static_vbp_26	2	9051107
date.d_datekey	static_vbp_26	3	8989932
date.d_datekey	static_vbp_32	1	8669598
date.d_datekey	static_vbp_32	2	9022061
date.d_datekey	static_vbp_32	3	8724160
date.d_datekey	dynamic_vbp	1	9012102
date.d_datekey	dynamic_vbp	2	9075033
date.d_datekey	dynamic_vbp	3	9083678
date.d_datekey	delta+dynamic_vbp	1	8630742
date.d_datekey	delta+dynamic_vbp	2	8656926
date.d_datekey	delta+dynamic_vbp	3	8819007
date.d_datekey	for+dynamic_vbp	1	8754675
date.d_datekey	for+dynamic_vbp	2	8790805
date.d_datekey	for+dynamic_vbp	3	8676868
lineorder.lo_orderdate	static_vbp_25	1	8613926
lineorder.lo_orderdate	static_vbp_25	2	8615749
lineorder.lo_orderdate	static_vbp_25	3	8600012
lineorder.lo_orderdate	static_vbp_26	1	8920943
lineorder.lo_orderdate	static_vbp_26	2	8688065
lineorder.lo_orderdate	static_vbp_26	3	8731900
lineorder.lo_orderdate	static_vbp_32	1	8776339
lineorder.lo_orderdate	static_vbp_32	2	8844649
lineorder.lo_orderdate	static_vbp_32	3	8874402
date.d_year	static_vbp_11	1	8962296
