colName	format
supplier.s_region	for+dynamic_vbp
lineorder.lo_revenue	uncompr
date.d_year	uncompr
lineorder.lo_orderdate	uncompr
part.p_partkey	uncompr
part.p_brand	uncompr
date.d_datekey	dynamic_vbp
lineorder.lo_suppkey	dynamic_vbp
lineorder.lo_partkey	static_vbp_32
supplier.s_suppkey	static_vbp_24
C_59	uncompr
X_61	uncompr
X_63	uncompr
X_69	uncompr
C_93	uncompr
X_95	delta+dynamic_vbp
X_98	uncompr
X_97	uncompr
X_105_0	uncompr
X_105	uncompr
X_128	uncompr
X_127	uncompr
X_136_0	uncompr
X_136_1	uncompr
X_136	uncompr
X_138	uncompr
C_140	uncompr
X_139	uncompr
C_143	uncompr
X_142	uncompr
X_145	uncompr
X_146	uncompr
X_132_0	uncompr
X_132_1	uncompr
X_132	uncompr
X_147	uncompr
