LogFilename: 2020-06-09-02:06:19_monitoringLog
JSonLogFilename: 2020-06-09-02:06:19_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	1567712
select	1	2067
select	2	2062
merge_sorted	3	186
my_project_wit_t	4	310
join	5	1407394
my_project_wit_t	6	36521
select	7	146
select	8	96
merge_sorted	9	13
my_project_wit_t	10	19
join	11	10752
my_project_wit_t	12	40916
my_project_wit_t	13	370
select	14	2
my_project_wit_t	15	0
join	16	365
my_project_wit_t	17	45974
my_project_wit_t	18	373
my_project_wit_t	19	2
my_project_wit_t	20	16
my_project_wit_t	21	146
my_project_wit_t	22	1
my_project_wit_t	23	319
my_project_wit_t	24	19154
my_project_wit_t	25	391
my_project_wit_t	26	1
my_project_wit_t	27	0
my_project_wit_t	28	1
group_vec	29	10
group_vec	30	11
group_vec	31	6
my_project_wit_t	32	0
agg_sum	33	1
my_project_wit_t	34	0
my_project_wit_t	35	0
[RES]
221,221,1997,451127624
225,225,1997,479084411
225,221,1997,426168330
221,225,1997,390793767
