LogFilename: 2020-06-09-02:52:23_monitoringLog
JSonLogFilename: 2020-06-09-02:52:23_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	2504046
select	1	2029
select	2	2055
merge_sorted	3	183
my_project_wit_t	4	276
join	5	2340359
my_project_wit_t	6	41840
select	7	147
select	8	96
merge_sorted	9	14
my_project_wit_t	10	27
join	11	11595
my_project_wit_t	12	42089
my_project_wit_t	13	419
select	14	2
my_project_wit_t	15	0
join	16	394
my_project_wit_t	17	42097
my_project_wit_t	18	363
my_project_wit_t	19	2
my_project_wit_t	20	16
my_project_wit_t	21	133
my_project_wit_t	22	1
my_project_wit_t	23	329
my_project_wit_t	24	19082
my_project_wit_t	25	385
my_project_wit_t	26	2
my_project_wit_t	27	0
my_project_wit_t	28	0
group_vec	29	11
group_vec	30	9
group_vec	31	6
my_project_wit_t	32	0
agg_sum	33	1
my_project_wit_t	34	0
my_project_wit_t	35	0
[RES]
221,221,1997,451127624
225,225,1997,479084411
225,221,1997,426168330
221,225,1997,390793767
