LogFilename: 2020-06-09-03:51:11_monitoringLog
JSonLogFilename: 2020-06-09-03:51:11_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	7917881
select	1	609
my_project_wit_t	2	210
semi_join	3	4532099
my_project_wit_t	4	831551
select	5	1193
my_project_wit_t	6	34
join	7	875230
my_project_wit_t	8	832312
my_project_wit_t	9	2285
join	10	1207
my_project_wit_t	11	25
my_project_wit_t	12	471
my_project_wit_t	13	478
my_project_wit_t	14	475
group_vec	15	2631
group_vec	16	2956
my_project_wit_t	17	0
my_project_wit_t	18	0
my_project_wit_t	19	831758
my_project_wit_t	20	1949
my_project_wit_t	21	206
agg_sum	22	137
[RES]
64122842794,1996,272
65442638804,1997,272
64644278336,1992,272
65753046406,1994,272
63849846112,1993,272
64613403961,1995,272
38990554470,1998,272
