LogFilename: 2020-06-09-00:47:23_monitoringLog
JSonLogFilename: 2020-06-09-00:47:23_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	5094150
select	1	134
my_project_wit_t	2	282
semi_join	3	3619673
my_project_wit_t	4	411578
select	5	1000
my_project_wit_t	6	46
join	7	229845
my_project_wit_t	8	444490
my_project_wit_t	9	1818
join	10	1273
my_project_wit_t	11	21
my_project_wit_t	12	441
my_project_wit_t	13	450
my_project_wit_t	14	450
group_vec	15	2723
group_vec	16	3637
my_project_wit_t	17	0
my_project_wit_t	18	0
my_project_wit_t	19	373600
my_project_wit_t	20	2308
my_project_wit_t	21	177
agg_sum	22	135
[RES]
64122842794,1996,272
65442638804,1997,272
64644278336,1992,272
65753046406,1994,272
63849846112,1993,272
64613403961,1995,272
38990554470,1998,272
