LogFilename: 2020-06-15-15:19:57_monitoringLog
JSonLogFilename: 2020-06-15-15:19:57_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	5933555
select	1	140
my_project_wit_t	2	103
semi_join	3	4526079
my_project_wit_t	4	338303
select	5	249
my_project_wit_t	6	45
join	7	259762
my_project_wit_t	8	410628
my_project_wit_t	9	2564
join	10	681
my_project_wit_t	11	38
my_project_wit_t	12	152
my_project_wit_t	13	486
my_project_wit_t	14	166
group_vec	15	2772
group_vec	16	3265
my_project_wit_t	17	0
my_project_wit_t	18	0
my_project_wit_t	19	385579
my_project_wit_t	20	2224
my_project_wit_t	21	132
agg_sum	22	121
[RES]
64122842794,1996,272
65442638804,1997,272
64644278336,1992,272
65753046406,1994,272
63849846112,1993,272
64613403961,1995,272
38990554470,1998,272
