LogFilename: 2020-06-09-04:33:00_monitoringLog
JSonLogFilename: 2020-06-09-04:33:00_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	7460806
select	1	276
my_project_wit_t	2	207
semi_join	3	4839087
my_project_wit_t	4	787339
select	5	926
my_project_wit_t	6	30
join	7	247374
my_project_wit_t	8	786987
my_project_wit_t	9	1884
join	10	1246
my_project_wit_t	11	20
my_project_wit_t	12	438
my_project_wit_t	13	452
my_project_wit_t	14	460
group_vec	15	2732
group_vec	16	3116
my_project_wit_t	17	0
my_project_wit_t	18	0
my_project_wit_t	19	786282
my_project_wit_t	20	1577
my_project_wit_t	21	185
agg_sum	22	128
[RES]
64122842794,1996,272
65442638804,1997,272
64644278336,1992,272
65753046406,1994,272
63849846112,1993,272
64613403961,1995,272
38990554470,1998,272
