LogFilename: 2020-06-15-15:25:14_monitoringLog
JSonLogFilename: 2020-06-15-15:25:14_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	5926276
select	1	144
my_project_wit_t	2	102
semi_join	3	4521345
my_project_wit_t	4	339001
select	5	250
my_project_wit_t	6	48
join	7	259065
my_project_wit_t	8	408794
my_project_wit_t	9	2565
join	10	676
my_project_wit_t	11	35
my_project_wit_t	12	156
my_project_wit_t	13	489
my_project_wit_t	14	161
group_vec	15	2737
group_vec	16	3225
my_project_wit_t	17	0
my_project_wit_t	18	0
my_project_wit_t	19	384940
my_project_wit_t	20	2218
my_project_wit_t	21	140
agg_sum	22	118
[RES]
64122842794,1996,272
65442638804,1997,272
64644278336,1992,272
65753046406,1994,272
63849846112,1993,272
64613403961,1995,272
38990554470,1998,272
