LogFilename: 2020-06-09-01:25:52_monitoringLog
JSonLogFilename: 2020-06-09-01:25:52_monitoringLog
[MEA]
opName	opIdx	runtime
query	0	1562131
select	1	2044
select	2	2058
merge_sorted	3	186
my_project_wit_t	4	307
join	5	1402947
my_project_wit_t	6	36289
select	7	145
select	8	94
merge_sorted	9	14
my_project_wit_t	10	19
join	11	10726
my_project_wit_t	12	40637
my_project_wit_t	13	372
select	14	2
my_project_wit_t	15	0
join	16	363
my_project_wit_t	17	45680
my_project_wit_t	18	363
my_project_wit_t	19	2
my_project_wit_t	20	17
my_project_wit_t	21	145
my_project_wit_t	22	1
my_project_wit_t	23	332
my_project_wit_t	24	18886
my_project_wit_t	25	388
my_project_wit_t	26	1
my_project_wit_t	27	0
my_project_wit_t	28	1
group_vec	29	10
group_vec	30	10
group_vec	31	6
my_project_wit_t	32	0
agg_sum	33	0
my_project_wit_t	34	0
my_project_wit_t	35	0
[RES]
221,221,1997,451127624
225,225,1997,479084411
225,221,1997,426168330
221,225,1997,390793767
